listing_id;site_basligi_tr;site_basligi_en;simdiki_fiyat;durum;CSV_SKU_buraya_yazin
4563585853;Amigurumi Siyah Tavşan – Cadılar Bayramı Süsü;Black Bunny Plush, Crochet Halloween Decor, Gothic Amigurumi Rabbit, Creepy Stuffed Gift;3245;eslesme yok;
4495940645;Amigurumi Örgü Fil Oyuncak – El Yapımı Hediye;Crochet Elephant Baby Set — Handmade Amigurumi Plush Toy & Nursery Decor;2911;eslesme yok;
4519423767;Amigurumi Örgü Kaplan Oyuncak – El Yapımı Hediye;Crochet Tiger Plush — Handmade Amigurumi Stuffed Animal, Woodland Nursery Decor;3134;eslesme yok;
4563533011;Amigurumi Koala Uyku Arkadaşı – İsme Özel;Koala Lovey with Name Embroidery, Personalized Crochet Snuggler, Custom Baby Comforter;3399;eslesme yok;
4562961011;Amigurumi Ördek Sarılma Oyuncağı – İsme Özel;Personalized Lovey with Name, Crochet Duck Snuggler, Custom Baby Comforter;3245;eslesme yok;
4555669758;Örgü Bebek Başörtülü – Seccadeli Bayram Hediyesi;Muslim Doll with Hijab and Prayer Rug, Personalized Crochet Hijabi Toy, Eid Gift Baby;3499;eslesme yok;
4527315673;Amigurumi Örgü Zürafa Oyuncak – Kişiye Özel Hediye;Personalized Crochet Giraffe with Name — Handmade Amigurumi Stuffed Animal, Custom Baby Shower Gift;999;eslesme yok;
4562943650;Amigurumi Balkabağı Kedi – Cadılar Bayramı Süsü;Crochet Pumpkin Cat, Handmade Amigurumi Halloween Decor, Jack o Lantern Plush;2450;eslesme yok;
4561076215;Örgü Perde Tutacağı Safari – Bebek Odası Süsü;Crochet Curtain Tieback with Safari Animals, Nursery Window Decor, Baby Shower Gift;3049;eslesme yok;
4492820139;Amigurumi Kıyafetli Tavşan Oyuncak – El Yapımı Hediye;Crochet Bunny Doll with Removable Clothes — Handmade Amigurumi Plush, Baby Shower Gift & Nursery Toy;3200;eslesme yok;
4559865588;Örgü Bebek Nakışlı – İsme Özel Doğum Günü Hediyesi;Personalized Crochet Doll with Name Embroidery, Custom Amigurumi Keepsake, Birthday Gift for Girls;3299;eslesme yok;
4500186641;Amigurumi Örgü Ejderha Uyku Arkadaşı – El Yapımı Hediye;Crochet Dragon Plush — Handmade Amigurumi Toy, Baby Gift & Nursery Decor;1500;eslesme yok;
4557864793;Örgü Tavşan Hediye Seti – Kız Bebek Patik ve Çıngırak;Crochet Bunny Gift Set for Baby Girl, Rabbit with Booties and Rattle, Newborn Keepsake;850;eslesme yok;
